sl no,Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
1,Corn Stover,6.34,67.25,15.64,10.68,52.26,6.03,40.67,0.97,0.07,650,0,1,27.26,26.16,29.69,16.89
2,Vermont Wood,4.56,81.51,13.55,0.38,54.51,6.21,39.15,0.11,0.03,650,0,1,25.66,26.2,31.22,16.92
3,Wheat Straw,5.18,67.89,14.89,12.04,58.34,6.4,34.79,0.36,0.11,650,0,1,30.15,24.12,27.85,17.87
4,Switchgrass,8.38,69.63,14.66,7.33,50.61,5.82,42.77,0.71,0.1,650,0,1,35.66,20.84,25.24,18.26
5,Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.3,37.28,15.11,37.78,9.82
6,Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.5,36.41,16.41,38.97,8.21
7,Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.68,34.18,17.86,40.31,7.65
8,Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.84,33.33,18.46,41.54,6.67
9,Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,1,31.28,20.51,42.05,6.15
10,Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,1.2,28.21,23.08,43.59,5.13
11,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,800,0.2,0.44,44.22,23.14,28.33,4.31
12,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,850,0.2,0.44,40.73,25.07,31.33,2.87
13,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,900,0.2,0.44,35.81,26.44,35.4,2.34
14,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.44,31.2,26.5,40.5,1.8
15,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.18,34,24,39,3
16,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.44,31,26,41,2
17,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.72,25,30,43,2
18,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,1.02,22,31,45,2
19,Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,1.32,21,32,46,1
20,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,0,43.88,16.33,33.67,6.12
21,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,1.35,42.41,17.8,31.41,8.38
22,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,2.02,40.94,18.37,32.55,8.14
23,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,2.7,39.57,18.76,33.76,7.91
24,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,4.04,38.58,20.17,33.49,7.76
25,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,700,0.22,2.7,45.95,22.16,22.7,9.19
26,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,750,0.22,2.7,40.64,20.86,29.95,8.56
27,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,2.7,39.57,18.76,33.76,7.91
28,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,850,0.22,2.7,35.24,19.43,37.57,7.75
29,Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,900,0.22,2.7,33.59,19.85,40.2,6.36
30,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.1,0,47.36,15.42,24.01,13.22
31,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.2,0,44.53,22.27,21.26,11.94
32,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.3,0,42.11,28.42,18.95,10.53
33,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.4,0,41.08,34.59,15.14,9.19
34,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.5,0,38.1,41.67,13.1,7.14
35,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,750,0.2,0,43.53,27.06,15.29,14.12
36,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,800,0.2,0,45.45,22.73,19.63,12.19
37,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,850,0.2,0,45.79,20.37,24.3,9.53
38,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,900,0.2,0,46.78,18.14,26.73,8.35
39,Pine Sawdust,9.28,76.98,12.9,0.83,48.24,7.44,42.99,1.28,0.06,950,0.2,0,48.82,15.75,29.13,6.3
40,Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.15,0,43.83,39.14,7.64,9.39
41,Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.18,0,30.38,49.36,9.15,11.11
42,Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.21,0,27.76,53.31,8.27,10.66
43,Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.22,0,27.6,55.66,7.36,9.38
44,Rice Straw,7.95,59.58,13.73,18.74,52.13,6.27,39.91,1.46,0.24,700,0.24,0,25.43,59.04,6.36,9.17
45,Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,720,0.26,0,39.46,36.78,11.94,11.81
46,Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,770,0.26,0,40.79,35.9,11.89,11.42
47,Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,788,0.26,0,40.4,30.55,14.07,14.97
48,Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,812.5,0.26,0,39.54,36.5,11.92,12.04
49,Rice Husk,12.81,58.81,14.06,14.32,46.84,6.46,45.79,0.75,0.15,837.5,0.26,0,35.75,38.86,12.95,12.44
50,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,0.75,29.89,16.09,50.23,3.79
51,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,0.75,27.11,14.49,54.18,4.22
52,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,0.75,30.05,14.02,51.83,4.11
53,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1,24.19,22.48,49.78,3.55
54,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1,22.14,20.53,53.02,4.31
55,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1,25.7,17.07,52.91,4.32
56,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.25,20.78,24.54,49.98,4.7
57,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.25,19.74,21.52,54.17,4.57
58,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.25,21.64,19.71,54.09,4.56
59,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.5,18.11,26.08,50.86,4.95
60,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.5,17.05,24.07,54.26,4.61
61,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.5,19.92,21.17,54.29,4.62
62,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.75,16.24,27.77,51.93,4.06
63,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.75,15.76,25.14,54.36,4.74
64,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.75,17.94,22.55,54.71,4.81
65,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,2,14.97,28.75,52.06,4.22
66,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,2,14.01,26.02,55.02,4.95
67,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,2,16.01,23.93,55.09,4.97
68,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,650,0,1.32,13.18,31.95,45.93,8.94
69,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,650,0,1.32,12,29.5,48.2,10.3
70,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,650,0,1.32,14.6,26.28,48.59,10.52
71,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,675,0,1.32,15.11,30.02,47.62,7.25
72,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,675,0,1.32,13.93,27.35,50.15,8.58
73,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,675,0,1.32,16.55,24.57,50.35,8.53
74,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,700,0,1.32,16.7,27.83,48.71,6.76
75,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,700,0,1.32,15.48,25.6,51.09,7.84
76,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,700,0,1.32,18.55,23.31,52.51,5.63
77,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,725,0,1.32,18.83,26.22,50.23,4.72
78,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,725,0,1.32,17.17,24.2,53.06,5.57
79,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,725,0,1.32,20.08,21.29,53.01,5.62
80,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,750,0,1.32,19.97,24.84,50.47,4.72
81,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,750,0,1.32,18.72,22.65,54.1,4.53
82,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,750,0,1.32,21.54,20.04,53.9,4.53
83,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,775,0,1.32,21.54,24.05,51.35,3.06
84,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,775,0,1.32,19.87,22.65,53.9,3.58
85,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,775,0,1.32,23.12,18.05,55.17,3.65
86,Rice Husk,9.95,59.92,11.31,18.82,49.07,3.79,46.42,0.63,0.09,800,0,1.32,22.77,22.97,51.77,2.5
87,Sugarcane Bagasse,13.05,71.04,12.57,3.35,46.1,5.26,44.25,0.19,4.2,800,0,1.32,21.28,20.78,54.95,3
88,Groundnut Shell,10.12,60.64,23.84,5.39,52.54,5.37,41.01,0.59,0.49,800,0,1.32,24.08,17.98,54.95,3
89,Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,800,0.15,0,37.57,25.05,26.59,10.79
90,Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,800,0.25,0,33.51,36.08,23.2,7.22
91,Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,800,0.35,0,25.76,44.85,23.64,5.76
92,Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,750,0.25,0,36.36,34.55,22.27,6.82
93,Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,800,0.25,0,39.08,32.18,21.84,6.9
94,Sawdust,6.11,74.6,15.82,3.47,50.6,7.45,41.86,0.08,0.01,850,0.25,0,41.58,28.9,21.21,8.32
95,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,650,0.15,0,42.49,31.71,15.22,10.57
96,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,700,0.15,0,43.52,29.28,14.84,12.36
97,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,750,0.15,0,43.93,26.65,15.87,13.55
98,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,800,0.15,0,46.41,25.02,15.92,12.65
99,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,850,0.15,0,47.28,21.95,19,11.77
100,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,650,0.2,0,31.47,39.47,18.53,10.53
101,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,700,0.2,0,31.78,36.02,19.07,13.14
102,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,750,0.2,0,31.66,35.14,20.43,12.77
103,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,800,0.2,0,34.45,31.5,21.65,12.4
104,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,850,0.2,0,36.87,27.65,22.58,12.9
105,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,650,0.25,0,33.48,40.6,15.12,10.8
106,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,700,0.25,0,32.36,38.62,16.7,12.32
107,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,750,0.25,0,33.8,35.94,17.81,12.45
108,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,800,0.25,0,35.34,31.19,20.79,12.68
109,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,850,0.25,0,37.04,27.29,22.03,13.65
110,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,950,0.18,0,26.12,55.06,15.9,2.92
111,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,970,0.21,0,30.8,46.31,18.71,4.18
112,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1000,0.24,0,35.5,34.99,23.18,6.33
113,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1020,0.28,0,38.88,26.84,26.17,8.11
114,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1040,0.32,0,40.74,23.82,27.79,7.65
115,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1050,0.36,0,37.67,28.97,25.7,7.65
116,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1060,0.41,0,33.16,40.27,23.14,3.43
117,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,0.8,32.67,9.9,56.44,0.99
118,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,1.2,26.5,13.5,59,1
119,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,1.6,22,16,61,1
120,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,2,19,18,62,1
121,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,2.2,16,20,63,1
122,Miscanthus Pellet,9.1,73.9,14.6,2.4,44.57,5.67,49.19,0.46,0.11,842,0.25,0,38.45,36.47,12.69,12.39
123,Miscanthus Pellet,9.1,73.9,14.6,2.4,44.57,5.67,49.19,0.46,0.11,846,0.3,0,37.57,51.44,10.56,0.43
124,Miscanthus Pellet,9.1,73.9,14.6,2.4,44.57,5.67,49.19,0.46,0.11,866,0.35,0,37.58,36.99,13.58,11.84
125,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.27,0.6,38.31,17.95,32.99,10.75
126,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.2,0.6,36.08,20.62,32.99,10.31
127,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.25,0.6,35.42,25,31.25,8.33
128,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.3,0.6,34.74,27.37,29.47,8.42
129,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.35,0.6,34.41,30.11,27.96,7.53
130,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.27,0.6,35.96,15.47,39.14,9.43
131,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,636,0.29,0,34.19,44.5,11.85,9.46
132,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,599,0.29,0,27.66,35.55,31.65,5.14
133,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,652,0.29,0,27.68,35.59,30.88,5.85
134,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,706,0.28,0,26.67,36.77,30.94,5.62
135,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,749,0.28,0,28.18,34.13,31.71,5.98
136,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,799,0.3,0,29.74,32.47,32.09,5.71
137,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,611,0.3,0,27.04,36.96,30.69,5.3
