sl no,Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
295,Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,1.2,30.5,20,42,7.5
296,Woody biomass,9.8,72.7,16.7,0.8,51.02,7.16,41.73,0.09,0,800,0.27,0,28.57,33.13,30.02,8.28
297,Woody biomass,9.8,72.7,16.7,0.8,51.02,7.16,41.73,0.09,0,800,0.24,0,29.01,30.95,31.14,8.9
298,Woody biomass,9.8,72.7,16.7,0.8,51.02,7.16,41.73,0.09,0,800,0.19,0,29.65,30.2,30.39,9.76
299,Woody biomass,9.8,72.7,16.7,0.8,51.02,7.16,41.73,0.09,0,800,0.32,0,24.43,35.2,31.47,8.9
300,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,700,0.3,0,40,30,25,5
301,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,800,0.3,0,42,29,23,6
302,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,900,0.3,0,38,25,31.5,5.5
303,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,700,0.2,0,50,20,23,7
304,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,700,0.4,0,37,40,19.5,3.5
305,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,800,0.2,0,47,23,22,8
306,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,800,0.4,0,44,32,20,4
307,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,900,0.2,0,47,21,25,7
308,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,900,0.4,0,40,33,23,4
309,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,700,0.3,0.25,31,41,21,7
310,Artificial waste(including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,700,0.3,0.5,34,38,23,5
311,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,800,0.3,0.25,37,36,23,4
312,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,800,0.3,0.5,33.5,33.5,26,7
313,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,900,0.3,0.25,30,33,32,5
314,Artificial waste (including wood chips),5.51,82,12.5,0.01,55.69,8.66,35.34,0.3,0.01,900,0.3,0.5,31,20,43,6
315,Wood Pellet,6.18,78.98,14.43,0.41,46.5,5.54,41.4,6.55,0.01,725,0.21,0,29.84,39.53,20.68,9.95
316,Wood Pellet,6.18,78.98,14.43,0.41,46.5,5.54,41.4,6.55,0.01,800,0.28,0,30.65,38.7,21.04,9.61
317,Wood Pellet,6.18,78.98,14.43,0.41,46.5,5.54,41.4,6.55,0.01,875,0.43,0,28.23,44.74,17.72,9.31
318,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,725,0,0.8,44.57,13.04,28.26,14.13
319,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,800,0,0.8,41.27,14.29,31.75,12.7
320,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,840,0,0.8,40,14.74,33.68,11.58
321,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,890,0,0.8,39.58,14.58,35.42,10.42
322,Eucalyptus,10.6,74.8,13.9,0.7,52.79,6.4,40.4,0.4,0.01,750,0,0.8,43.62,15.96,24.47,15.96
323,Eucalyptus,10.6,74.8,13.9,0.7,52.79,6.4,40.4,0.4,0.01,800,0,0.8,39.58,18.75,28.13,13.54
324,Eucalyptus,10.6,74.8,13.9,0.7,52.79,6.4,40.4,0.4,0.01,850,0,0.8,33.68,17.89,36.84,11.58
325,Eucalyptus,10.6,74.8,13.9,0.7,52.79,6.4,40.4,0.4,0.01,880,0,0.8,32.65,15.31,42.86,9.18
326,Holm-oak,9.5,70.2,17.8,2.5,51.09,5.3,42.7,0.9,0.01,740,0,0.8,34.04,18.09,37.23,10.64
327,Holm-oak,9.5,70.2,17.8,2.5,51.09,5.3,42.7,0.9,0.01,800,0,0.8,34.07,21.98,31.87,12.09
328,Holm-oak,9.5,70.2,17.8,2.5,51.09,5.3,42.7,0.9,0.01,850,0,0.8,32.26,20.43,35.48,11.83
329,Holm-oak,9.5,70.2,17.8,2.5,51.09,5.3,42.7,0.9,0.01,900,0,0.8,29.29,18.18,45.45,7.07
330,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,800,0,0.49,50.56,12.36,22.47,14.61
331,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,800,0,0.6,41.3,13.04,34.78,10.87
332,Pine waste,12,71.5,16,0.5,51.59,4.9,42.6,0.9,0.01,800,0,0.7,38.95,13.68,36.84,10.53
333,Empty Fruit Bunch,5.18,82.58,8.79,3.45,46.63,6.45,45.67,1.21,0.04,850,0.15,0,46,17,21,16
334,Empty Fruit Bunch,5.18,82.58,8.79,3.45,46.63,6.45,45.67,1.21,0.04,850,0.2,0,42.71,19.79,23.96,13.54
335,Empty Fruit Bunch,5.18,82.58,8.79,3.45,46.63,6.45,45.67,1.21,0.04,850,0.25,0,33.68,24.21,29.47,12.63
336,Empty Fruit Bunch,5.18,82.58,8.79,3.45,46.63,6.45,45.67,1.21,0.04,850,0.3,0,34.74,32.63,21.05,11.58
337,Empty Fruit Bunch,5.18,82.58,8.79,3.45,46.63,6.45,45.67,1.21,0.04,850,0.35,0,31.91,38.3,19.15,10.64
338,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,750,0,1.33,25,20,48,7
339,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,800,0,1.33,22,22,52,4
340,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,850,0,1.33,17,24,56,3
341,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,900,0,1.33,14,25,59,2
342,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,900,0,0.01,34,13.5,46,6.5
343,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,900,0,0.67,23,20,52,5
344,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,900,0,1.33,16.49,22.68,58.76,2.06
345,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,900,0,2,15.46,24.74,57.73,2.06
346,Palm Oil Wastes,6.56,75.99,12.39,5.33,53.1,7.47,38.32,0.44,0.67,900,0,2.67,15.46,25.77,56.7,2.06
347,Olive kernels,4.59,75.56,16.39,3.49,47.96,6.32,45.7,0.01,0.01,750,0.42,0,18,55,22,5
348,Olive kernels,4.59,75.56,16.39,3.49,47.96,6.32,45.7,0.01,0.01,850,0.42,0,15,51.5,23.5,10
349,Olive kernels,4.59,75.56,16.39,3.49,47.96,6.32,45.7,0.01,0.01,950,0.42,0,19.5,43,29.5,8
350,Olive kernels,4.59,75.56,16.39,3.49,47.96,6.32,45.7,0.01,0.01,950,0.14,0,20.2,39.39,30.3,10.1
351,Olive kernels,4.59,75.56,16.39,3.49,47.96,6.32,45.7,0.01,0.01,950,0.21,0,19.5,39,31,10.5
352,Olive Tree Cuttings,4.84,78.31,13.9,2.95,47.27,6.41,44.98,1.34,0.01,750,0.42,0,16,55,20,9
353,Olive Tree Cuttings,4.84,78.31,13.9,2.95,47.27,6.41,44.98,1.34,0.01,850,0.42,0,14.5,53.5,21,11
354,Olive Tree Cuttings,4.84,78.31,13.9,2.95,47.27,6.41,44.98,1.34,0.01,950,0.42,0,20,51,21,8
355,Olive Tree Cuttings,4.84,78.31,13.9,2.95,47.27,6.41,44.98,1.34,0.01,950,0.14,0,19,41,27,13
356,Olive Tree Cuttings,4.84,78.31,13.9,2.95,47.27,6.41,44.98,1.34,0.01,950,0.21,0,18,41,30,11
357,Pine Sawdust,23.5,62.73,13.12,0.65,49.99,5.7,44.09,0.2,0.03,800,0.32,0,37.33,36,18.67,8
358,Pine Sawdust,21,64.78,13.55,0.67,49.99,5.7,44.09,0.2,0.03,800,0.37,0,32.34,37.31,23.63,6.72
359,Pine Sawdust,23,63.14,13.21,0.65,49.99,5.7,44.09,0.2,0.03,810,0.47,0,30.86,37.04,24.69,7.41
360,Pine Sawdust,22,63.96,13.38,0.66,49.99,5.7,44.09,0.2,0.03,800,0.26,0,33.16,38.27,21.68,6.89
361,Pine Sawdust,25,61.5,12.86,0.64,49.99,5.7,44.09,0.2,0.03,790,0.36,0,32.34,37.31,23.63,6.72
362,Pine Sawdust,19,66.42,13.89,0.69,49.99,5.7,44.09,0.2,0.03,800,0.32,0,39.56,29.67,20.88,9.89
363,Rubber Wood Chip,8.5,81.34,9.15,1.01,46.39,5.7,47.69,0.2,0.01,750,0.32,0,34.79,41.53,15.23,8.45
364,Rubber Wood Chip,8.5,81.34,9.15,1.01,46.39,5.7,47.69,0.2,0.01,776.5,0.36,0,31.79,41.8,18.1,8.31
365,Rubber Wood Chip,8.5,81.34,9.15,1.01,46.39,5.7,47.69,0.2,0.01,790.5,0.38,0,31.48,39.71,20.34,8.47
366,Rubber Wood Chip,8.5,81.34,9.15,1.01,46.39,5.7,47.69,0.2,0.01,808.4,0.41,0,30,43.34,17.69,8.97
367,Rubber Wood Chip,8.5,81.34,9.15,1.01,46.39,5.7,47.69,0.2,0.01,834.2,0.43,0,30.06,46.53,14.17,9.24
368,Poultry litter,22.1,57.37,6.86,13.67,55.09,6.48,31.01,6.53,0.91,700,0.18,0,20.83,43.74,28.26,7.16
369,Poultry litter,22.1,57.37,6.86,13.67,55.09,6.48,31.01,6.53,0.91,700,0.22,0,23.74,36.83,32.32,7.11
370,Poultry litter,22.1,57.37,6.86,13.67,55.09,6.48,31.01,6.53,0.91,700,0.3,0,24.35,39.21,30.26,6.18
371,Poultry litter,22.1,57.37,6.86,13.67,55.09,6.48,31.01,6.53,0.91,700,0.3,0.24,19.78,37.54,37.2,5.48
372,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0.35,0.5,28.51,46.33,20.49,4.68
373,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.3,0.5,30.95,38.74,24.42,5.89
374,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.35,0.2,32.08,43.56,17.8,6.56
375,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.35,0.5,28.69,43.47,22.27,5.57
376,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.4,0.5,26.81,47.25,21.1,4.84
377,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,850,0.35,0.5,30.08,38.17,25.52,6.22
378,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.35,0.8,26.4,43.87,24.53,5.2
379,Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,850,0.35,0.8,28.06,40.32,25.89,5.73
380,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,650,0.25,0,30.69,43.9,19.5,5.91
381,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,750,0.25,0,32.04,44.45,15.23,8.28
382,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,850,0.25,0,36.39,40.59,16.02,6.99
383,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,950,0.25,0,38.71,34.45,20.24,6.59
384,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,1050,0.25,0,40.25,28.33,24.88,6.53
385,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.17,0,35.45,40.9,16.29,7.36
386,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.21,0,36.4,42.18,12.11,9.31
387,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.28,0,34.65,46.29,11.68,7.37
388,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.32,0,33.1,50.46,9.75,6.7
389,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,650,0.25,0,38.07,38.88,15.37,7.67
390,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,750,0.25,0,36.35,43.34,14.49,5.82
391,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,850,0.25,0,33.05,43.15,17.61,6.18
392,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,950,0.25,0,31.44,33.15,29.6,5.81
393,Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,1050,0.25,0,33.17,25.39,36.26,5.19
394,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,700,0.17,0,28,36,24,12
395,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,740,0.2,0,26.09,36.96,23.91,13.04
396,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,750,0.22,0,23.53,39.22,23.53,13.73
397,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,760,0.23,0,20,37.78,26.67,15.56
398,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,785,0.24,0,23.81,40.48,19.05,16.67
399,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,780,0.29,0,29.55,36.36,22.73,11.36
400,Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,820,0.31,0,31.82,36.36,20.45,11.36
401,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,665,0.25,0,48.24,35.03,9.7,7.03
402,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,744,0.3,0,40.05,43.48,10.13,6.35
403,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,811,0.35,0,36.16,48.61,9.61,5.62
404,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,670,0.35,0,46.99,37.26,9.69,6.06
405,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,750,0.3,0,39.76,45.36,9.37,5.51
406,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,822,0.35,0,35.88,49.45,9.36,5.31
407,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,700,0.35,0,42.79,41.91,9.64,5.66
408,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,766,0.3,0,37.3,47.69,9.53,5.48
409,Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,828,0.35,0,35.32,50.06,9.34,5.29
410,C. cardunculus L,7.03,72.29,15.01,5.67,51.22,5.94,41.97,0.85,0.01,826,0.3,0,44,29.11,20.1,6.79
411,C. cardunculus L,7.03,72.29,15.01,5.67,51.22,5.94,41.97,0.85,0.01,874,0.29,0,42.37,27.28,24.06,6.29
412,C. cardunculus L,9.69,69.83,10.21,10.27,55.18,6.66,37.46,0.64,0.06,700,0.2,0,23.65,37.6,27.95,10.81
413,C. cardunculus L,9.69,69.83,10.21,10.27,55.18,6.66,37.46,0.64,0.06,760,0.2,0,27.98,33.9,27.47,10.65
414,C. cardunculus L,9.69,69.83,10.21,10.27,55.18,6.66,37.46,0.64,0.06,800,0.2,0,30.72,30.44,29.89,8.95
415,Rubber Woodchip,9.5,80.45,9.05,1,46.4,5.7,47.7,0.2,0.01,761,0.38,0,33.76,40.71,16.56,8.97
416,Rubber Woodchip,18.1,72.81,8.19,0.9,46.4,5.7,47.7,0.2,0.01,730,0.38,0,30.18,46.06,14.62,9.15
417,Rubber Woodchip,25.5,66.23,7.45,0.82,46.4,5.7,47.7,0.2,0.01,699,0.38,0,28.36,48.11,14.81,8.72
418,Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,703.5,0.36,0,29.06,47.92,14.31,8.71
419,Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,729.9,0.39,0,28.97,48,14.57,8.46
420,Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,738.2,0.45,0,28.6,48.15,14.95,8.3
421,Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,765.4,0.49,0,27.96,49.21,14.67,8.16
422,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,750,0.3,0,29.43,35.14,26.83,8.61
423,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,800,0.3,0,33.17,29.96,28.66,8.22
424,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,750,0.3,0,31.4,34.2,25,9.4
425,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,800,0.3,0,34.24,30.01,27.29,8.46
426,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,750,0.3,0,30.6,36.1,24.48,8.82
427,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,800,0.3,0,35.56,30.7,25.84,7.9
428,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,750,0.3,0,32.58,37,22.4,8.02
429,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,800,0.3,0,33.7,35.2,23.4,7.7
430,Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,26.9,29.03,35.75,8.32
431,Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,28.77,27.89,34.74,8.6
432,Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,24.91,30.51,36.64,7.94