Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,648,0.49,0,26.78,44.71,24.18,4.33
Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,609,0.29,0,25.82,37.49,30.72,5.97
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0,43.03,21.47,27.35,8.15
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0.75,34.89,26.29,29.81,9.01
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.06,35.93,25.96,28.97,9.14
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.45,36.94,24.77,28.82,9.47
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.67,35.86,25.57,29.52,9.04
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0,48.11,12.74,26.32,12.84
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0.75,45.82,15.76,28.39,10.02
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.06,40.79,19.98,29.76,9.47
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.45,40.44,20.89,29.94,8.73
Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.67,39.25,21.5,30.43,8.83
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,650,0,1.2,35.8,35.08,20.05,9.07
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,700,0,1.2,31.25,36.54,24.52,7.69
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,1.2,26.69,35.35,31.71,6.24
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,800,0,1.2,26.32,38.95,29.47,5.26
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,850,0,1.2,23.01,46.01,26.07,4.91
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,0.4,36.58,27.75,23.78,11.89
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,0.8,32.52,31.06,26.9,9.51
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,1.2,26.85,34.61,31.99,6.55
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,1.6,23.14,37.02,34.7,5.14
Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,2,17.9,39.9,39.64,2.56
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.37,1.7,15.86,48,28.25,7.88
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.28,1.7,15.93,41.27,35.04,7.76
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.18,1.7,17.14,35.41,39.9,7.55
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.09,1.7,18.95,29.2,44.26,7.58
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0,1.7,20.7,22.85,47.95,8.5
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,1.1,20.33,24.62,46.99,8.07
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,1.4,18.78,24.97,49.24,7.01
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,1.8,16.16,25.51,52.13,6.2
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,2.7,11.97,27.79,55.17,5.07
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,4.7,7.37,30.51,57.98,4.14
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,750,0.18,1.4,21.53,36.89,32.81,8.78
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0.18,1.4,17.85,36.21,38.15,7.79
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.18,1.4,19,32.89,39.63,8.48
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,900,0.18,1.4,19.63,33.27,38.96,8.14
Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,950,0.18,1.4,19.13,28.6,45.12,7.15
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,750,0,0.6,45,8,34,13
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.6,39,9,41,11
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,850,0,0.6,22.5,22.5,50,5
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0,45.5,9,29.5,16
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.2,47.5,9,29.5,14
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.4,38.5,10.5,39.5,11.5
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.6,39.5,8.5,41,11
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.8,38,12,40,10
Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,1,32.91,17.34,39.7,10.05
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,650,0,1.32,11.25,31.9,47.25,9.6
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,690,0,1.32,12.83,28.51,50.5,8.16
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,730,0,1.32,15.9,25.65,52.2,6.25
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,770,0,1.32,17.85,23.9,53.08,5.17
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,1.32,27.48,18.09,47.81,6.62
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,0.6,22.7,22.2,48.88,6.22
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,1,19.65,23.15,51.17,6.03
Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,1.32,17.38,24.81,51.89,5.92
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,1,18.56,16.49,52.58,12.37
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,700,0.22,2.7,45.63,21.82,22.85,9.7
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,750,0.22,2.7,41.34,20.45,29.63,8.58
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,2.7,39.37,19.36,33.49,7.78
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,850,0.22,2.7,35.52,19.49,37.51,7.49
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,900,0.22,2.7,34,19.7,40.09,6.21
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.19,1.56,39.41,18.74,33.61,8.24
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.21,1.56,41.15,17.98,32.43,8.44
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.23,1.56,41.75,17.56,32.76,7.93
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.25,1.56,41.23,18.78,32.33,7.66
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.27,1.56,39.57,20.56,32.97,6.9
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,0,43.77,16.21,33.85,6.16
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,0.61,35.11,22.07,32.69,10.13
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,1.35,42.33,17.68,31.24,8.75
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,2.02,41.03,18.2,32.2,8.57
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,2.7,39.37,19.36,33.49,7.78
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.23,1.56,38.53,21.91,32.7,6.86
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.23,1.56,39.09,20.28,32.9,7.74
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.23,1.56,41.75,17.56,32.76,7.93
Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.23,1.56,42.46,17.52,31.87,8.15
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,0.3,18,11,49,22
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,0.6,19.8,10.89,54.46,14.85
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,0.9,19.61,10.78,58.82,10.78
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,1.2,20.79,7.92,61.39,9.9
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,1.5,21,6,64,9
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,1.8,21.21,5.05,65.66,8.08
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,2.1,22,5,65,8
Coconut Shell,8.55,52.56,26.45,12.44,50.2,5.4,43.4,0.94,0.06,950,0.24,2.4,22.22,5.05,65.66,7.07
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,650,0,0,38.54,31.33,19.92,10.21
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0,36.86,32.47,20.28,10.39
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,750,0,0,36.1,26.4,28.9,8.6
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0,31.6,31.6,28.6,8.2
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,650,0,0.34,45,18,25,12
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.37,30,20,40,10
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,650,0,0.35,35,8,40,17
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.38,20,10,55,15
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,750,0,0.59,20,18,50,12
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.46,15,20,55,10
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.5,39.18,10.31,40.21,10.31
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.6,31.58,13.68,43.16,11.58
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.7,26.04,15.63,46.88,11.46
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.8,22.68,16.49,48.45,12.37
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.9,20.41,17.35,50,12.24
Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,1,19,18,50,13
Peat,13.86,58.86,23.58,3.7,56.95,5.85,35.06,1.88,0.26,840,0.31,0,33.25,30.02,29.53,7.2
Peat,12.88,59.53,23.85,3.74,56.95,5.85,35.06,1.88,0.26,825,0.29,0.29,26.05,35.26,30.26,8.42
Peat,13.71,58.97,23.62,3.71,56.95,5.85,35.06,1.88,0.26,828,0.32,0.11,31.12,31.89,30.36,6.63
Peat,15.6,57.67,23.1,3.63,56.95,5.85,35.06,1.88,0.26,828,0.37,0,32.8,32.8,28.27,6.13
Peat,13.93,58.81,23.56,3.7,56.95,5.85,35.06,1.88,0.26,831,0.3,0.31,24.3,35.19,32.15,8.35
Peat,13.41,59.17,23.7,3.72,56.95,5.85,35.06,1.88,0.26,822,0.29,0.43,24.03,34.37,31.78,9.82
Peat,13.56,59.07,23.66,3.71,56.95,5.85,35.06,1.88,0.26,819,0.4,0.18,29.81,34.69,29.54,5.96
Peat,13.78,58.91,23.6,3.7,56.95,5.85,35.06,1.88,0.26,815,0.43,0.37,23.33,41.21,28.79,6.67
Peat,13.86,58.86,23.58,3.7,56.95,5.85,35.06,1.88,0.26,835,0.41,0.19,28.21,37.04,28.77,5.98
Sawdust,10.15,74.57,15.09,0.18,50.3,6.11,43.48,0.1,0.01,775,0.28,0.08,36.86,29.64,21.65,11.86
Sawdust,5.57,78.38,15.86,0.19,50.3,6.11,43.48,0.1,0.01,814,0.39,0.34,31.21,34.68,26.01,8.09
Dried Grains,7.4,73.2,15.5,3.9,49.93,6.67,37.24,5.58,0.59,900,0.2,0,31.35,44.68,19.42,4.56
Miscanthus Pellet,10.18,71.11,15.9,2.8,51.25,5.88,42.4,0.46,0.01,700,0.28,0,36.06,30.52,28.55,4.88
Miscanthus Pellet,11.58,63.91,18,6.5,50.7,5.92,42.84,0.49,0.05,650,0.27,0,39.52,34.2,21.09,5.19
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,798,0.22,0.62,37.32,32.36,26.75,3.56
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,886,0.25,0.69,39.7,26.07,30.89,3.33
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,850,0.24,0.61,39.57,25.03,29.25,6.15
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,774,0.26,0.32,43.33,22.65,30.39,3.64
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,934,0.25,0.4,38.23,29.33,27.59,4.85
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,930,0.25,0,30.41,30.88,32.3,6.41
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1108,0.25,0,25.6,37.9,29.66,6.85
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1093,0.28,0,26.55,36.27,30.09,7.09
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1015,0.27,0,26.07,35.41,30.05,8.46
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,870,0.24,0,28.55,30.79,36.19,4.46
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,910,0.27,0,29.4,32.45,32.58,5.57
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1025,0.27,0,28.06,34.04,32.09,5.81
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1035,0.27,0,26.8,34.6,32.36,6.24
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1015,0.27,0,26,35.45,30.08,8.47
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,1090,0.27,0,25.89,36.79,28.01,9.32
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,905,0.3,0.62,36.16,31.23,29.55,3.06
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,897,0.27,0.62,36.85,28.14,31.81,3.21
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,830,0.25,0.62,35.55,28.18,32.11,4.15
Pine wood,7.41,76.19,15.89,0.51,50.82,7.12,41.34,0.15,0.57,810,0.24,0.62,38.76,29.74,29.15,2.35
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,650,0,0.35,50,10,26,14
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,0.35,39,15,36,10
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,750,0,0.35,34,17,39,10
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.35,29.5,19,41.5,10
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.2,32.5,18.5,38.5,10.5
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.4,30,19,41,10
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.65,28.5,20,42.5,9
Pine Sawdust,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,800,0,0.9,29.5,20,42.5,8
